Profile_Index,Valid_Count,Gradient_RMSE_dBZ
337,42,0.8630281
338,41,0.9089454
339,42,1.181587
340,40,1.0037189
341,42,1.2657267
342,42,1.8441919
343,39,2.1055107
344,41,2.670337
345,39,2.7083716
346,40,3.0222535
347,40,3.125795
348,37,2.9771118
349,37,3.2946823
350,35,3.3268964
351,32,2.9157712
352,30,3.247041
353,29,2.872554
354,31,3.0193384
355,30,2.7381248
356,26,2.2814183
357,28,2.6141677
358,26,2.346586
359,28,2.6713738
360,27,2.8913999
361,29,2.6034093
362,29,2.9222434
363,29,3.0100095
364,29,2.7065644
365,29,2.8422978
366,26,2.677633
367,29,2.5796793
368,30,1.9142725
369,27,2.534301
370,28,2.3704116
371,29,2.374273
372,29,2.9068983
373,27,2.4876382
374,27,2.4949977
375,30,2.8297422
376,26,2.9975362
377,25,2.2133892
378,27,2.8170133
379,26,2.8115208
380,1,
381,0,
382,0,
383,1,
384,4,2.3404298
385,7,4.531791
386,9,4.923686
387,6,2.2911458
388,7,4.4791007
389,1,
390,6,1.9603152
391,8,4.979585
392,0,
393,0,
394,0,
395,0,
396,0,
397,0,
398,5,4.072908
399,9,6.216225
400,7,3.7679076
401,8,3.286522
402,9,3.760145
403,9,2.9896386
404,8,4.7566137
405,8,4.764645
406,4,2.6615336
407,8,2.9613137
408,0,
409,0,
410,0,
411,0,
412,0,
413,4,0.91291124
414,5,1.1071835
415,3,0.73903316
416,4,1.3080074
417,0,
418,0,
419,0,
420,0,
421,0,
422,0,
423,0,
424,0,
425,0,
426,0,
427,0,
428,0,
429,1,
430,1,
431,2,
432,5,0.89714444
433,3,1.4992863
434,3,2.7119963
435,9,2.675507
436,6,0.61087346
437,6,0.8858394
438,5,2.5679417
439,6,1.5184914
440,5,2.9354892
441,7,2.5629907
442,7,2.2812116
443,7,1.9872179
444,7,2.9783406
445,7,1.204911
446,9,2.8122146
447,5,2.13104
448,4,0.45611256
449,3,0.37952188
450,2,
451,8,1.4066771
452,5,2.1191306
453,4,1.1954511
454,4,2.1947463
455,5,1.2059073
456,6,2.0302477
457,5,1.282747
458,2,
459,1,
460,5,1.5179552
461,12,1.5015055
462,21,7.3779206
463,16,4.50474
464,4,2.9591434
465,3,4.1987805
466,6,5.2879286
467,3,3.7291076
468,5,5.095869
469,2,
470,9,6.0024424
